"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1,C2,C4,C5,C7,C8,C9","7","100nF","","","","Capacitor_SMD:C_0402_1005Metric",""
"C3","1","10uF","","","","Capacitor_SMD:C_0402_1005Metric",""
"C6","1","22uF","","","","Capacitor_SMD:C_0805_2012Metric",""
"C10,C11","2","22pF","","","","Capacitor_SMD:C_0402_1005Metric",""
"J1,J2","2","Conn_01x15_Pin","","","","Connector_PinHeader_2.54mm:PinHeader_1x15_P2.54mm_Vertical",""
"J3","1","USB_B_Micro","","","","Connector_USB:USB_Micro-B_Amphenol_10118194_Horizontal",""
"L1","1","1.5uH","","","","Inductor_SMD:L_0603_1608Metric",""
"R1","1","100k","","","","Resistor_SMD:R_0402_1005Metric",""
"R2","1","442k","","","","Resistor_SMD:R_0402_1005Metric",""
"R3","1","60.4k","","","","Resistor_SMD:R_0402_1005Metric",""
"R4","1","10k","","","","Resistor_SMD:R_0402_1005Metric",""
"U1","1","MP2322GQH-Z","","","","MP2322_Footprint:CONV_MP2322GQH-Z",""
"U2","1","ATmega4809-A","","","","Package_QFP:TQFP-48_7x7mm_P0.5mm","http://ww1.microchip.com/downloads/en/DeviceDoc/40002016A.pdf"
"U3","1","ATSAMD11D14A-M","","","","Package_DFN_QFN:QFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm","http://ww1.microchip.com/downloads/en/DeviceDoc/Atmel-42363-SAM-D11_Datasheet.pdf"
"Y1","1","12MHz","","","","Crystal:Crystal_SMD_3225-4Pin_3.2x2.5mm",""
